Name_Chinese,Id,Number of investment events,URL,Name_English
粤科金融,3536109,77,https://data.cyzone.cn/capital/3536109.html,Yueke Finance
坚果资本,1403403,77,https://data.cyzone.cn/capital/1403403.html,Nut Capital
银杏谷资本,1394537,77,https://data.cyzone.cn/capital/1394537.html,Yin Xing Gu
源码资本,1393347,76,https://data.cyzone.cn/capital/1393347.html,Source Code
元禾控股,3024195,76,https://data.cyzone.cn/capital/3024195.html,Yuanhe Holdings
招商局资本,1393231,75,https://data.cyzone.cn/capital/1393231.html,China Merchants Capital
百度投资并购部,1393538,75,https://data.cyzone.cn/capital/1393538.html,Baidu M&A
国中创投,1401284,75,https://data.cyzone.cn/capital/1401284.html,Guo Zhong
好未来战略投资部,1151722,74,https://data.cyzone.cn/capital/1151722.html,TAL Education
PreAngel,1393421,73,https://data.cyzone.cn/capital/1393421.html,PreAngel
申万宏源证券,3536658,73,https://data.cyzone.cn/capital/3536658.html,Shenwan Hongyuan
CBC宽带资本,1393305,71,https://data.cyzone.cn/capital/1393305.html,CBC
天堂硅谷,1393296,71,https://data.cyzone.cn/capital/1393296.html,Paradise Silicon Valley
勤桦投资,1395616,71,https://data.cyzone.cn/capital/1395616.html,Qinhua Investment
华睿投资,3536410,70,https://data.cyzone.cn/capital/3536410.html,Huarui Investment
凯泰资本,1395273,69,https://data.cyzone.cn/capital/1395273.html,Kaitai Capital
国金投资,3536333,69,https://data.cyzone.cn/capital/3536333.html,State Finance Investment
西科天使基金,1395491,68,https://data.cyzone.cn/capital/1395491.html,Sike Angel Fund
老鹰基金,1393448,68,https://data.cyzone.cn/capital/1393448.html,Eagles
天风天睿,1398062,67,https://data.cyzone.cn/capital/1398062.html,Tianfeng Tianrui
清控银杏,1395215,67,https://data.cyzone.cn/capital/1395215.html,THC
景林投资,1394555,67,https://data.cyzone.cn/capital/1394555.html,Greenwoods
科大讯飞,1564736,67,https://data.cyzone.cn/capital/1564736.html,IFlytek
国资管理中心,3011820,66,https://data.cyzone.cn/capital/3011820.html,State-owned Assets Management Center
娱乐工场,1395395,66,https://data.cyzone.cn/capital/1395395.html,Entertainment
合肥高投,1403914,66,https://data.cyzone.cn/capital/1403914.html,Hefei High Investment
国投集团,1395544,65,https://data.cyzone.cn/capital/1395544.html,SDIC
金浦投资,3536501,65,https://data.cyzone.cn/capital/3536501.html,Gimpo Investment
银河证券,3023968,64,https://data.cyzone.cn/capital/3023968.html,Galaxy Securities
DCM中国,1393235,63,https://data.cyzone.cn/capital/1393235.html,DCM
联想创投,1395325,63,https://data.cyzone.cn/capital/1395325.html,Lenovo
时代伯乐,3536672,62,https://data.cyzone.cn/capital/3536672.html,Times Bole
