Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1394896,,,点亮资本,,https://data.cyzone.cn/capital/1394896.html,1,35,7,8,5,0.340412,0.357372,26.082296
3536489,,,今日资本,,https://data.cyzone.cn/capital/3536489.html,11,35,7,18,4,0.405986,0.43431,36.41803
1393351,,,清流资本,,https://data.cyzone.cn/capital/1393351.html,12,35,13,25,4,0.419508,0.451481,582.001076
1402013,,,科发资本,,https://data.cyzone.cn/capital/1402013.html,10,35,9,19,4,0.380302,0.407372,495.18197
1394640,,,创势资本,,https://data.cyzone.cn/capital/1394640.html,4,35,5,9,4,0.369413,0.390359,47.129153
1395666,,,上海联和投资,,https://data.cyzone.cn/capital/1395666.html,5,35,3,8,5,0.316577,0.331979,22.838787
1393800,,,湖畔山南资本,,https://data.cyzone.cn/capital/1393800.html,6,35,7,13,4,0.390694,0.416982,72.808414
1393513,,,黑马基金,,https://data.cyzone.cn/capital/1393513.html,8,35,13,21,4,0.395366,0.425646,176.320325
3235719,,,光大银行,,https://data.cyzone.cn/capital/3235719.html,1,35,3,4,5,0.299208,0.311059,8.632437
1395547,,,领汇投资,,https://data.cyzone.cn/capital/1395547.html,6,35,8,14,4,0.38783,0.413201,184.444839
3107947,,,广州证券,,https://data.cyzone.cn/capital/3107947.html,8,34,7,15,5,0.354083,0.37719,84.356371
1394536,,,中兴合创,,https://data.cyzone.cn/capital/1394536.html,6,34,5,11,4,0.375444,0.398708,36.4066
1393491,,,众海投资,,https://data.cyzone.cn/capital/1393491.html,4,34,5,9,4,0.385288,0.40816,13.152627
1400444,,,十维资本,,https://data.cyzone.cn/capital/1400444.html,8,34,7,15,4,0.381399,0.407057,182.406646
1394861,,,张江火炬创投,,https://data.cyzone.cn/capital/1394861.html,1,34,7,8,4,0.370708,0.390989,18.040159
1403371,,,广发乾和,,https://data.cyzone.cn/capital/1403371.html,8,34,6,14,5,0.402894,0.428544,85.932212
3007642,,,浙科投资,,https://data.cyzone.cn/capital/3007642.html,4,34,8,12,4,0.369672,0.390674,112.287784
1393549,,,原子创投,,https://data.cyzone.cn/capital/1393549.html,6,34,9,15,4,0.386131,0.413674,42.868692
1410156,,,建银国际,,https://data.cyzone.cn/capital/1410156.html,12,34,7,19,4,0.405364,0.43431,594.809671
1395731,,,源星资本,,https://data.cyzone.cn/capital/1395731.html,16,34,9,25,4,0.425583,0.456207,169.562804
1399798,,,寒武创投,,https://data.cyzone.cn/capital/1399798.html,6,34,9,15,4,0.383056,0.41005,251.054001
