event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2015111131245589999999,3124558,紫竹慧,北京紫竹慧建设服务股份有限公司,https://data.cyzone.cn/company/3124558.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-11-11,"智能制造,智能制造装备,仪器设备",243
2015111130858769999999,3085876,维和药业,云南维和药业股份有限公司,https://data.cyzone.cn/company/3085876.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-11-11,"医疗健康,医药服务,药品生产",243
2015111130551239999999,3055123,汉德股份,武汉汉德阀门股份有限公司,https://data.cyzone.cn/company/3055123.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-11-11,"智能制造,智能制造装备,电气设备",244
2015111112724789999999,1272478,易二零,北京易二零环境股份有限公司,https://data.cyzone.cn/company/1272478.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-11-11,"企业服务,传统企业服务,咨询服务",244
2015111132789251403335,3278925,企保360,上海启保网络科技有限公司,https://data.cyzone.cn/company/3278925.html,1,1403335,1403335,嘉定创投,https://data.cyzone.cn/capital/1403335.html,天使轮,数百万人民币,2015-11-11,"保险,金融",244
2015111132749811406823,3274981,阿不思,阿不思网络科技（上海）有限公司,https://data.cyzone.cn/company/3274981.html,1,1406823,1406823,华铭智能,https://data.cyzone.cn/capital/1406823.html,天使轮,未披露,2015-11-11,"大数据,新媒体营销,广告营销",244
2015111132743241394748,3274324,创富时代,北京创富时代信息技术有限公司,https://data.cyzone.cn/company/3274324.html,1,1394748,1394748,上海华滨投资有限公司,https://data.cyzone.cn/capital/1394748.html,天使轮,未披露,2015-11-11,"投资理财,金融",244
2015111132634063536333,3263406,南极圈科技,深圳南极圈文化有限公司,https://data.cyzone.cn/company/3263406.html,1,3536333,3536333,国金投资,https://data.cyzone.cn/capital/3536333.html,A轮,未披露,2015-11-11,"企业服务,创业服务,创业咨询",244
2015111132611591395657,3261159,华美天策,武汉华美天策生物科技有限公司,https://data.cyzone.cn/company/3261159.html,1,1395657,1395657,光谷人才基金,https://data.cyzone.cn/capital/1395657.html,天使轮,未披露,2015-11-11,"新材料,材料",244
2015111130951339999999,3095133,易构软件,山东易构软件技术股份有限公司,https://data.cyzone.cn/company/3095133.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-11-11,"物联网,物联网应用,智慧交通",243
2015111132524761393332,3252476,子不语游戏,上海子不语信息技术有限公司,https://data.cyzone.cn/company/3252476.html,2,"1393332,1397213",1393332,"德迅投资,龙渊资本","https://data.cyzone.cn/capital/1393332.html,https://data.cyzone.cn/capital/1397213.html",天使轮,数百万人民币,2015-11-11,"文化娱乐,游戏电竞,手游研发",244
2015111132266271151324,3226627,创趣小窝儿,小窝空间（北京）科技有限公司,https://data.cyzone.cn/company/3226627.html,1,1151324,1151324,创客总部,https://data.cyzone.cn/capital/1151324.html,A轮,未披露,2015-11-11,未透露,244
2015111132414683239040,3241468,中航租赁,中航国际租赁有限公司,https://data.cyzone.cn/company/3241468.html,1,3239040,3239040,中航资本,https://data.cyzone.cn/capital/3239040.html,战略投资,未披露,2015-11-11,"智能制造,航空航天,飞机",244
2015111113271811393550,1327181,派蒙集团,安徽宇航派蒙健康科技股份有限公司,https://data.cyzone.cn/company/1327181.html,2,"1393550,1402910",1393550,"信中利资本,力合创投","https://data.cyzone.cn/capital/1393550.html,https://data.cyzone.cn/capital/1402910.html",A轮,未披露,2015-11-11,"物联网,物联网安全",245
2015111132226951402394,3222695,北陆药业,北京北陆药业股份有限公司,https://data.cyzone.cn/company/3222695.html,3,"1402394,3024147,1394727",1402394,"中植资本,渝富集团,易方达基金","https://data.cyzone.cn/capital/1402394.html,https://data.cyzone.cn/capital/3024147.html,https://data.cyzone.cn/capital/1394727.html",上市公司定增,1亿人民币,2015-11-11,"医疗健康,医药服务,药品生产",245
2015111132255841394573,3225584,联银网,中外建投资产管理（上海）有限公司,https://data.cyzone.cn/company/3225584.html,1,1394573,1394573,初创投资,https://data.cyzone.cn/capital/1394573.html,天使轮,未披露,2015-11-11,未透露,245
2015111132091051159377,3209105,神州金信,神州数码金信科技股份有限公司,https://data.cyzone.cn/company/3209105.html,1,1159377,1159377,联想控股,https://data.cyzone.cn/capital/1159377.html,A轮,未披露,2015-11-11,未透露,245
2015111132313211406323,3231321,国能电池,北京国能电池科技股份有限公司,https://data.cyzone.cn/company/3231321.html,1,1406323,1406323,拓金资本,https://data.cyzone.cn/capital/1406323.html,A+轮,未披露,2015-11-11,"能源电力,传统能源,电池",244
2015111133029781394801,3302978,汉音乐器,杭州汉音乐器有限公司,https://data.cyzone.cn/company/3302978.html,1,1394801,1394801,浙江浙大友创投资管理有限公司,https://data.cyzone.cn/capital/1394801.html,A轮,未披露,2015-11-11,"文化娱乐,音乐,乐器",244
2015111132375753247180,3237575,太原煤炭气化,太原煤炭气化（集团）有限责任公司,https://data.cyzone.cn/company/3237575.html,2,"3247180,3219104",3247180,"中国信达,中国华融","https://data.cyzone.cn/capital/3247180.html,https://data.cyzone.cn/capital/3219104.html",未披露,未披露,2015-11-11,未透露,244
